Name,Company Name,Telephone,"Address, City, State, and Zip",Order Dollar Amount,Order Date,Order Time,Sales Rep ID,,
Ronnie Kinder,Smith and Co.,+1 (380) 082-3486,"7520 elm alley ne, huntsville, AL 35801","$57,061 ",6/16/2011,3:41 AM,2,,#VALUE!
Fola Mayer,Trans Pacific Airlines,+1 (367) 045-2516,"8748 main avenue, elk grove, ca 95624","66,151",5/28/2011,5:41 PM,3,,
Baylee Pinkston,The Dot Grill,+1 (593) 621-5676,"1307 sixth boulevard, fremont, ca 94536","57,304",4/29/2011,11:27 AM,3,,
Ryan Deluca,Ankh-Sto Associates,+1 (071) 222-7265,"2563 elm loop north, sioux falls, SD 57102","56,383",1/9/2011,1:27 AM,1,,
Isabis Grigsby,Quark Industries,+1 (527) 615-5699,"3297 park circle, oklahoma city, OK 73102","40,371",4/9/2011,2:07 AM,2,,
Cristobal Moe,LexCorp,+1 (989) 067-2692,"9025 second street west, des moines, IA 50309","42,461",7/25/2011,4:30 PM,1,,
Quintin Rocha,Extensive Enterprise,+1 (045) 502-9680,"882 central crescent, green bay, WI 54302","50,471",6/19/2011,4:26 AM,1,,
Tasha Pond,Crudgington Brewery,+1 (494) 826-0339,"3033 mill way, portland, OR 97201","44,978",4/16/2011,2:19 AM,3,,
Oran Clarke,Matsumura Fishworks,+1 (986) 841-8244,"8102 ninth crescent, hartford, CT 06103","66,511",7/5/2011,8:18 AM,1,,
Sage Mckinnon,Axis Chemical Co.,+1 (173) 424-2186,"6009 sixth court, ann arbor, MI 48103","25,997",4/17/2011,10:49 AM,1,,
Rory Vang,Atlantic International Airlines,+1 (877) 713-9572,"2578 water drive south, yonkers, NY 10701","55,888",12/22/2011,9:37 AM,1,,
Bertha Etheridge,Water and Power,+1 (405) 208-2988,"4120 maple freeway south, south bend, IN 46601","36,942",6/21/2011,5:40 AM,1,,
Lucile Parkinson,canada World Airways,+1 (718) 819-1260,"3524 market drive south, santa rosa, ca 95401","31,297",3/5/2011,6:22 PM,3,,
Eloisa Vogt,ZiffCorp,+1 (982) 018-9385,"1118 second circle, santa ana, ca 92701","67,196",5/5/2011,3:05 PM,2,,
Landon Palacios,Tip Top cafe,+1 (531) 369-9458,"6385 second place, chesapeake, VA 23320","57,533",5/4/2011,4:27 AM,3,,
Pete Hanlon,Tessier-Ashpool,+1 (135) 244-5758,"2331 view road sw, garden grove, ca 92640","68,585",1/5/2011,10:31 AM,3,,
Travis Bruno,Galaxy Corp,+1 (543) 939-2931,"3382 lincoln place se, pomona, ca 91767","54,597",12/29/2011,8:07 AM,2,,
Sullivan Humphries,Oceanic Airlines,+1 (292) 055-6755,"6731 central cove, corpus christi, tx 78401","52,041",5/22/2011,4:59 AM,1,,
Oneal Brewster,Leeding Engines Ltd.,+1 (520) 558-6700,"4718 sixth boulevard, joliet, IL 60431","34,339",7/26/2011,1:05 PM,2,,
Johnnie Mclean,Gringotts,+1 (840) 245-9710,"3535 maple drive, abilene, tx 79601","48,698",12/30/2011,9:51 AM,2,,
Fawn George,Plow King,+1 (909) 931-7887,"423 second row west, chandler, AZ 85224","49,607",2/20/2011,12:31 AM,1,,
Joye Gooden,The Dot Grill,+1 (138) 270-5265,"7622 main parkway, independence, MO 64050","33,289",11/6/2011,3:35 PM,1,,
Lottie Speight,Slate Rock and Gravel Company,+1 (232) 374-1087,"2440 seventh parkway east, naperville, IL 60540","58,543",4/5/2011,12:38 AM,2,,
Aurelio Chalmers,VersaLife Corporation,+1 (609) 435-6647,"6112 spring boulevard nw, alexandria, VA 22301","60,610",5/5/2011,12:16 AM,3,,
Jalena Lindley,Zorg Industries,+1 (791) 149-3010,"2304 union freeway south, simi valley, ca 93065","58,188",7/22/2011,12:37 AM,1,,
Simone Kirchner,Kumatsu Motors,+1 (859) 078-9289,"513 seventh way, yonkers, NY 10701","26,043",6/9/2011,11:17 PM,2,,
Jovan Lu,Matsumura Fishworks,+1 (294) 131-7635,"6164 union place, miami, FL 33122","65,946",6/1/2011,4:29 PM,3,,
Roy Ballard,SpringShield,+1 (624) 203-6748,"2840 sixth court nw, ventura, ca 93001","43,038",2/15/2011,1:47 AM,1,,
Garvey Dupree,Globo Gym American Corp,+1 (571) 129-1559,"3884 hill park east, south bend, IN 46601","55,773",5/11/2011,5:37 PM,3,,
Luka Johnston,Flowers By Irene,+1 (666) 292-1338,"8366 eighth lane west, oceanside, ca 92054","42,228",4/8/2011,6:56 PM,3,,
Zola Hanley,Initrode,+1 (890) 460-1722,"5507 first row north, vallejo, ca 94590","51,812",12/18/2011,1:24 AM,1,,
Mandar Houser,Data Systems,+1 (560) 626-0209,"4471 view drive, kansas city, KS 66101","73,494",9/23/2011,8:34 PM,3,,
Madalynn Sparks,Uplink Corporation,+1 (744) 791-1898,"5569 elm parkway se, san diego, ca 92101","70,325",2/8/2012,12:14 PM,1,,
caelan Putman,Trans Global Airlines,+1 (812) 176-3307,"2967 third freeway south, ontario, ca 91761","54,502",1/14/2012,6:18 PM,3,,
Janeeva Burnett,North Central Positronics,+1 (315) 454-4478,"559 first loop, rochester, NY 14604","52,832",5/28/2012,12:49 PM,3,,
Kennith Lind,Sombra Corporation,+1 (166) 104-4507,"5094 central street, concord, ca 94518","77,340",2/3/2012,12:06 AM,1,,
Honey Loomis,Massive Dynamic,+1 (615) 444-1779,"539 main terrace west, oakland, ca 94601","42,021",1/8/2012,12:44 PM,3,,
Ayame Wolf,Matsumura Fishworks,+1 (753) 383-3645,"886 first way ne, lansing, MI 48906","47,410",6/30/2012,2:27 AM,1,,
Hunter Poe,Arlesdale Railway,+1 (001) 781-0564,"3501 maple street west, reno, NV 89501","74,400",2/3/2012,12:58 AM,3,,
Kyran Bader,Demo Inc.,+1 (319) 461-6849,"9571 spring terrace east, lowell, MA 01850","79,978",10/19/2012,12:44 AM,3,,
Rhiannon Hendon,Trans Pacific Airlines,+1 (749) 282-6956,"2222 elm boulevard, downey, ca 90240","78,249",3/10/2012,5:52 PM,2,,
Jessica Mabry,Petrox Oil Company,+1 (860) 833-4511,"8879 jefferson crescent, rancho cucamonga, ca 91730","80,547",2/18/2012,3:46 PM,2,,
Hanna Pfeiffer,caliban Industries,+1 (174) 717-6412,"438 maple road north, chattanooga, TN 37402","52,536",3/23/2012,2:37 PM,1,,
Doris Burney,Vandelay Industries,+1 (140) 019-6942,"5522 chestnut drive, murfreesboro, TN 37129","80,756",8/16/2012,8:55 AM,3,,
Gary Collier,Buy and Large Corporation,+1 (421) 916-5917,"9556 market park se, ann arbor, MI 48103","84,019",6/21/2012,10:45 PM,3,,
Makala Gardner,Atlantic Northern,+1 (523) 540-9916,"4721 water road, richmond, ca 94801","71,503",3/14/2012,6:38 PM,3,,
Iniko Nolan,Union Aerospace Corporation,+1 (866) 757-4780,"9710 pine canal north, tacoma, WA 98402","70,565",5/22/2012,8:14 PM,2,,
Brooklyn Mckinley,canada World Airways,+1 (821) 216-9500,"9928 pine loop, costa mesa, ca 92626","87,352",6/12/2012,12:21 AM,1,,
Nellie causey,Mammoth Pictures,+1 (428) 634-0326,"8795 lake place, stockton, ca 95202","73,044",7/15/2012,3:36 PM,3,,
Katlin Spooner,Southern Railway of Northern Ireland,+1 (977) 161-2465,"4185 cherry road north, mesa, AZ 85201","79,187",5/27/2012,11:47 AM,3,,
Divya Hardesty,Big Belly Burger,+1 (019) 797-6106,"6003 lincoln boulevard west, rockford, IL 61101","43,420",10/17/2012,1:25 PM,2,,
Katelin Schwarz,Kumatsu Motors,+1 (412) 225-3243,"6834 main freeway sw, north las vegas, NV 89030","58,738",9/5/2012,3:32 PM,1,,
caldwell Odonnell,Extensive Enterprise,+1 (852) 472-9379,"7193 church cove, fremont, ca 94536","67,787",3/13/2012,7:27 AM,1,,
Sydney Burrell,Soar Airlines,+1 (752) 113-3079,"6922 first court, arlington, VA 22201","75,612",4/12/2012,11:14 PM,1,,
Coleman Garvey,Chez Quis,+1 (828) 137-0385,"8111 sixth court sw, cedar rapids, IA 52401","67,747",2/4/2012,1:30 PM,2,,
Amanda Willoughby,Flowers By Irene,+1 (543) 336-2222,"8019 fifth court, rockford, IL 61101","40,162",9/5/2012,2:03 PM,3,,
Bernard Hutchison,NorthAm Robotics,+1 (210) 999-3109,"4167 view avenue east, flint, MI 48502","73,989",1/12/2012,1:58 AM,3,,
campbell Fishman,Paradise Airlines,+1 (519) 906-3962,"2421 eighth row sw, miramar, FL 33023","66,602",12/3/2012,1:11 AM,3,,
Gillespie Matlock,Sto Plains Holdings,+1 (905) 632-1270,"8030 main drive, visalia, ca 93277","84,231",1/6/2012,12:37 AM,3,,
Ainka Colley,Federation World Airlines,+1 (306) 714-8398,"4627 water lane, west jordan, UT 84084","40,881",9/25/2012,11:43 PM,2,,
Syble Dillon,Soar Airlines,+1 (848) 357-1659,"5247 washington drive, carlsbad, ca 92008","55,277",10/17/2012,1:36 AM,2,,
Ronald Taggart,Trans United Airways,+1 (921) 546-6865,"5738 church way, garden grove, ca 92640","74,955",7/1/2012,7:41 PM,1,,
cayla Chow,TetraCorp,+1 (161) 236-9574,"2070 lake boulevard north, denton, tx 76201","79,275",7/9/2012,3:28 PM,2,,
Claudia Mcnulty,The Queen Victoria,+1 (643) 965-0465,"3387 eighth loop sw, louisville, KY 40202","45,545",5/16/2012,4:48 AM,2,,
Toby Merrill,Roboto Industries,+1 (100) 741-3501,"765 oak street se, jersey city, NJ 07302","47,369",2/14/2012,8:25 PM,3,,
Dean Adamson,Stark Industries,+1 (106) 531-8631,"9420 union way east, peoria, AZ 85345","82,333",5/23/2012,12:06 AM,2,,
Abel Gamble,Galaxy Corp,+1 (980) 478-8737,"8963 eighth cove, pembroke pines, FL 33024","56,576",10/23/2012,2:43 PM,3,,
carmelita Sturgill,Zorg Industries,+1 (711) 060-6183,"7562 eighth way, norwalk, ca 90650","47,826",8/22/2012,1:33 PM,2,,
Banyan Rountree,Ace Tomato Company,+1 (571) 515-2159,"5488 central road nw, pasadena, tx 77502","46,015",5/7/2012,12:06 PM,1,,
Nessa Stearns,Ajax Corporation,+1 (702) 908-9779,"6573 park park south, sunnyvale, ca 94086","64,277",7/12/2012,4:39 AM,3,,
Gia Viera,LexCorp,+1 (645) 205-2795,"828 elm canal, albuquerque, NM 87102","47,700",6/22/2012,1:29 PM,1,,
Aldo Perron,Trans Pacific Airlines,+1 (487) 503-7233,"987 mill drive, grand rapids, MI 49503","41,146",7/9/2012,10:23 PM,3,,
Latham Mercier,Trans Regional Airlines,+1 (697) 563-5421,"2656 adams cove west, long beach, ca 90802","79,745",9/9/2012,5:58 PM,1,,
Clayton Mcmillen,MARS Industries,+1 (063) 564-5609,"1876 cherry court, wichita, KS 67202","51,232",5/18/2012,10:13 AM,3,,
Harland Coates,Nordyne Defense Dynamics,+1 (005) 558-6844,"2799 washington road, salinas, ca 93901","78,655",3/20/2012,12:31 PM,1,,
Isis See,Shinra Electric Power Company,+1 (628) 761-6553,"79 lincoln drive ne, akron, OH 44301","68,014",12/16/2012,8:05 AM,1,,
Wyatt Bernstein,Initech,+1 (534) 905-7066,"5838 water canal nw, north las vegas, NV 89030","71,712",2/28/2012,6:25 PM,2,,
Infant Downing,Culdee Fell Railway,+1 (740) 770-9784,"4362 fourth avenue north, grand rapids, MI 49503","48,609",2/8/2012,10:36 PM,2,,
cala Lucas,Primatech,+1 (394) 213-0021,"1710 market terrace ne, newark, NJ 07102","72,611",2/1/2012,1:46 PM,2,,
Annetta Back,Roxxon,+1 (583) 927-8186,"1742 spring way south, carrollton, tx 75006","43,247",4/21/2012,9:11 PM,2,,
Zora Ness,Arlesdale Railway,+1 (805) 556-1073,"2010 central crescent, clarksville, TN 37040","68,508",11/4/2012,4:47 PM,3,,
Davan Younger,Sample Inc.,+1 (228) 985-0438,"6368 chestnut cove, little rock, AR 72201","60,450",11/9/2013,12:46 AM,4,,
Kasey Banks,Blarg Factory,+1 (813) 859-0957,"3345 cherry crescent, baton rouge, LA 70801","51,960",10/1/2013,12:08 AM,2,,
Merrill Poindexter,The Dot Grill,+1 (947) 649-9621,"8835 spring freeway east, berkeley, ca 94702","52,776",12/24/2013,1:58 PM,2,,
Hastings Hailey,Water and Power,+1 (203) 631-8348,"8368 church circle ne, rochester, NY 14604","54,864",10/29/2013,3:00 PM,4,,
Lalla Pate,Keedsler Motors,+1 (942) 899-8751,"746 fifth drive west, columbus, GA 31901","53,141",3/19/2013,4:23 PM,2,,
Kalinda Manley,Trans Continental Airlines,+1 (344) 941-5759,"5786 spring cove, lexington, KY 40502","70,752",12/1/2013,4:53 PM,3,,
Kortney Herrin,Zorg Industries,+1 (078) 295-6640,"9328 cherry loop se, buffalo, NY 14201","92,016",11/18/2013,12:18 AM,1,,
Langdon Pierre,Gizmonic Institute,+1 (928) 706-5939,"3485 park parkway, newport news, VA 23601","59,241",9/19/2013,3:43 PM,3,,
Sharon Pence,Minuteman cafe,+1 (457) 731-0065,"2078 central road se, fontana, ca 92335","99,620",5/3/2013,6:55 AM,1,,
Eloy Pinto,canada World Airways,+1 (822) 636-8472,"5758 first parkway east, topeka, KS 66603","98,689",4/18/2013,12:23 AM,3,,
