Name,Customer Company,Sales Telephone (Cell),Sales Telephone (Office),Customer Phone,Customer,"Sales Office Address, City, State, and Zip","Customer Address, City, State, and Zip",Order Dollar Amount,Order Date,Order Time,Sales Rep ID, 
Ronnie Kinder,Smith and Co.,+1 (380) 082-3486,    (263) 788-6925,    (576) 841-6249,stephen ince,"7520 elm alley ne, huntsville, AL 35801","    650 devon road, irwin, pa 15642",57061,20112805,3:41 AM,2,
Fola Mayer,Trans Pacific Airlines,+1 (367) 045-2516,    (305) 501,    (453) 562-7932,anna howard,"8748 main avenue, elk grove, ca 95624","    334 5th street west, monroe, ny 10950",66151,6/19/2011,5:41 PM,3,
Baylee Pinkston,The Dot Grill,+1 (593) 621-5676,    (847) 951-8943,    (675) 975-1826,brandon dickens,"1307 sixth boulevard, fremont, ca 94536","    47 fairview avenue, braintree, ma 02184",57304,4/17/2011,11:27 AM,3,
Ryan Deluca,Ankh-Sto Associates,+1 (071) 222-7265,    (584) 960-6801,    (978) 328-2179,kimberly rees,"2563 elm loop north, sioux falls, SD 57102","    549 4th street south, bedford, oh 44146",56383,20112106,1:27 AM,1,
Isabis Grigsby,Quark Industries,+1 (527) 615-5699,    (823) 897-5353,    (885) 611-6058,audrey allan,"3297 park circle, oklahoma city, OK 73102","    821 essex court, ashland, oh 44805",40371,20110405,2:07 AM,2,
Cristobal Moe,LexCorp,+1 (989) 067-2692,    (994) 158-8904,    (429) 417-8658,wendy turner,"9025 second street west, des moines, IA 50309","    592 manor drive, schenectady, ny 12302",42461,7/26/2011,4:30 PM,1,
Quintin Rocha,Extensive Enterprise,+1 (045) 502-9680,    (233) 599-0615,    (502) 583-6391,dominic clark,"882 central crescent, green bay, WI 54302","    748 woodland drive, bemidji, mn 56601",50471,20113012,4:26 AM,1,
Tasha Pond,Crudgington Brewery,+1 (494) 826-0339,    (974) 549-2681,    (745) 901-3435,luke newman,"3033 mill way, portland, OR 97201","    430 virginia street, waynesboro, pa 17268",44978,20110611,2:19 AM,3,
Oran Clarke,Matsumura Fishworks,+1 (986) 841-8244,    (235) 689-1880,    (566) 755-6857,dan poole,"8102 ninth crescent, hartford, CT 06103","    475 john street, cookeville, tn 38501",66511,5/5/2011,8:18 AM,1,
Sage Mckinnon,Axis Chemical Co.,+1 (173) 424-2186,    (929) 138-8240,    (354) 766-5071,peter gill,"6009 sixth court, ann arbor, MI 48103","    649 canterbury road, sykesville, md 21784",25997,6/9/2011,10:49 AM,1,
Rory Vang,Atlantic International Airlines,+1 (877) 713-9572,    (681) 455-0606,    (898) 165-8950,heather roberts,"2578 water drive south, yonkers, NY 10701","    521 hillside avenue, harlingen, tx 78552",55888,20110106,9:37 AM,1,
Bertha Etheridge,Water and Power,+1 (405) 208-2988,    (158) 997-2838,    (541) 847-0908,angela baker,"4120 maple freeway south, south bend, IN 46601","    834 10th street, whitehall, pa 18052",36942,4/8/2011,5:40 AM,1,
Lucile Parkinson,canada World Airways,+1 (718) 819-1260,    (865) 809-6829,    (343) 750-4910,austin simpson,"3524 market drive south, santa rosa, ca 95401","    954 river street, holland, mi 49423",31297,20111812,6:22 PM,3,
Eloisa Vogt,ZiffCorp,+1 (982) 018-9385,    (516) 231-6425,    (239) 231-5328,irene wilson,"1118 second circle, santa ana, ca 92701","    469 ivy lane, orland park, il 60462",67196,1/14/2012,3:05 PM,2,
Landon Palacios,Tip Top cafe,+1 (531) 369-9458,    (658) 566-2669,    (653) 292-2516,trevor gibson,"6385 second place, chesapeake, VA 23320","    544 route 30, severna park, md 21146",57533,20121401,4:27 AM,3,
Pete Hanlon,Tessier-Ashpool,+1 (135) 244-5758,    (885) 487-4633,    (202) 871-4522,phil howard,"2331 view road sw, garden grove, ca 92640","    790 highland avenue, sicklerville, nj 08081",68585,20120302,10:31 AM,3,
